0.473684	0	-481.417
0.473684	0.0526316	-482.92
0.473684	0.105263	-501.606
0.473684	0.157895	-443.647
0.473684	0.210526	-438.929
0.473684	0.263158	-626.749
0.473684	0.315789	-472.809
0.473684	0.368421	-214.559
0.473684	0.421053	-699.632
0.473684	0.473684	-795.636
0.473684	0.526316	40.6906
0.473684	0.578947	-383.716
0.473684	0.631579	-1335.6
0.473684	0.684211	-128.182
0.473684	0.736842	405.786
0.473684	0.789474	-1562.33
0.473684	0.842105	-1055.31
0.473684	0.894737	1169.76
0.473684	0.947368	-842.536
0.473684	1	-2435.03
